Feature,rank,C_VISUAL_PATH,C_NAME,MOD,key_for_search,lab_low,lab_high,raw_text,ref_link
KUH|COMPONENT_ID:2000#MMOL/L@Labs|Aggregate:Median,23,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Electrolytes - single valence (LP19403-2)\Sodium (LP15099-2)\Sodium | Bld-Ser-Plas (LP48861-6)\Sodium SerPl-sCnc (2951-2)\SODIUM(#2000),SODIUM(#2000),@Labs|Aggregate:Median,sodium,135,145,The normal range for blood sodium levels is 135 to 145 mEq/L. Normal value ranges may vary slightly among different laboratories. Some labs use different measurements or test different samples.,https://www.ucsfhealth.org/tests/003481.html
KUH|COMPONENT_ID:2034#%@Labs|Aggregate:Last,24,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Hemoglobin normal variant (LP31617-1)\Hemoglobin A (LP14554-7)\Hemoglobin A1 (LP16412-6)\Hemoglobin A1c (LP16413-4)\Hemoglobin A1c | Bld-Ser-Plas (LP100945-7)\Hgb A1c MFr Bld HPLC (17856-6)\HEMOGLOBIN A1C(#2034),HEMOGLOBIN A1C(#2034),@Labs|Aggregate:Last,hemoglobin a1c,5.7,6.4,"The more glucose that enters the bloodstream, the higher the amount of glycated hemoglobin,” Dr. Dodell says. An A1C level below 5.7 percent is considered normal. An A1C between 5.7 and 6.4 percent signals prediabetes. Type 2 diabetes is diagnosed when the A1C is over 6.5 percent.",https://www.everydayhealth.com/type-2-diabetes/.../ways-lower-your-a1c/
KUH|COMPONENT_ID:2005#MMOL/L@Labs|Aggregate:Median,25,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Electrolytes - single valence (LP19403-2)\Bicarbonate (LP15441-6)\Bicarbonate | Bld-Ser-Plas (LP46218-1)\HCO3 Ser-sCnc (1963-8)\CO2(#2005),CO2(#2005),@Labs|Aggregate:Median,co2,23,29,The normal range for CO2 is 23 to 29 mEq/L (milliequivalent units per liter of blood). The blood test often measures blood pH along with CO2 levels to further determine the cause of your symptoms. Blood pH is a measurement of acidity or alkalinity. Alkalosis is when your body fluids are too alkaline.,https://www.healthline.com/health/co2-blood-test
KUH|COMPONENT_ID:7164#MCG/ML@Labs|Aggregate:Last,26,"Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Protein (LP15838-3)\Albumin (LP6118-6)\Albumin | Urine (LP41466-1)\Microalbumin Ur-mCnc (14957-5)\MICROALBUMIN, RAN(#7164)","MICROALBUMIN, RAN(#7164)",@Labs|Aggregate:Last,microalbumin,30,300,"A ratio of albumin (mcg/L) to creatinine (mg/L) of less than 30 is normal; a ratio of 30-300 signifies microalbuminuria and values above 300 are considered as macroalbuminuria. On a standard urine dipstick, 10-20 mg/dL is the minimal detection limit of protein.",https://emedicine.medscape.com/article/2088184-overview
KUH|COMPONENT_ID:3004#%@Labs|Aggregate:Last,27,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Hematocrit (LP15101-6)\Hematocrit | Bld-Ser-Plas (LP45040-0)\Hct VFr Bld Auto (4544-3)\HEMATOCRIT(#3004),HEMATOCRIT(#3004),@Labs|Aggregate:Last,hematocrit,45,52,Hematocrit (Hct) Levels. This is the ratio of the volume of red cells to the volume of whole blood. Normal range for hematocrit is different between the sexes and is approximately 45% to 52% for men and 37% to 48% for women.,https://www.medicinenet.com/hematocrit/article.htm
KUH|COMPONENT_ID:3045#FL@Labs|Aggregate:Median,28,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Platelets (LP14597-6)\Platelet indices (LP31668-4)\Platelet mean volume (LP17657-5)\Platelet Mean Volume | Bld-Ser-Plas (LP48921-8)\PMV Bld Auto (32623-1)\MPV(#3045),MPV(#3045),@Labs|Aggregate:Median,mpv,150000,4.00E+05,"A CBC test may include the MPV test.. The test gives a platelet count per microliter (mcL) of blood. The measurement is the number of platelets a person has, on average, per microliter. The ideal platelet range is 150,000 to 400,000 per mcL in most healthy people.",https://www.medicalnewstoday.com/articles/322726.php
KUH|COMPONENT_ID:2023#G/DL@Labs|Aggregate:Median,29,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Protein (LP15838-3)\Albumin (LP6118-6)\Albumin | Bld-Ser-Plas (LP43038-6)\Albumin SerPl BCG-mCnc (61151-7)\ALBUMIN(#2023),ALBUMIN(#2023),@Labs|Aggregate:Median,albumin,3.5,5.5,The reference range for albumin testing is as follows: The normal range is 3.5 to 5.5 g/dL or 35-55 g/liter. This range may vary slightly in different laboratories. Albumin composes 50%-60% of blood plasma proteins.,https://emedicine.medscape.com/article/2054430-overview
KUH|COMPONENT_ID:3020#%@Labs|Aggregate:Median,30,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Granulocytes (LP18643-4)\Eosinophils (LP14539-8)\Eosinophils | Bld-Ser-Plas (LP48337-7)\Eosinophil/leuk NFr Bld Auto (713-8)\EOSINOPHILS %(#3020),EOSINOPHILS %(#3020),@Labs|Aggregate:Median,eosinophils,0,6,The serum reference ranges of eosinophils are as follows: Eosinophils blood (%): 0.0-6.0 (This range may vary slightly in different laboratories.) Eosinophil blood count (absolute): 30-350. The percentage of eosinophils is multiplied by the white blood cell count to give the absolute eosinophil count.,https://emedicine.medscape.com/article/2090595-overview
KUH|COMPONENT_ID:2319#MG/DL@Labs|Aggregate:Last,32,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Triglyceride (LP15275-8)\Triglyceride | Bld-Ser-Plas (LP42275-5)\Trigl SerPl-mCnc (2571-8)\TRIGLYCERIDES(#2319),TRIGLYCERIDES(#2319),@Labs|Aggregate:Last,triglycerides,150,199,"A simple blood test can reveal whether your triglycerides fall into a healthy range: Normal — Less than 150 milligrams per deciliter (mg/dL), or less than 1.7 millimoles per liter (mmol/L) Borderline high — 150 to 199 mg/dL (1.8 to 2.2 mmol/L) High — 200 to 499 mg/dL (2.3 to 5.6 mmol)",https://www.mayoclinic.org/diseases.../high.../triglycerides/art-20048186
KUH|COMPONENT_ID:3004#%@Labs|Aggregate:Median,34,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Hematocrit (LP15101-6)\Hematocrit | Bld-Ser-Plas (LP45040-0)\Hct VFr Bld Auto (4544-3)\HEMATOCRIT(#3004),HEMATOCRIT(#3004),@Labs|Aggregate:Median,hematocrit,45,52,Hematocrit (Hct) Levels. This is the ratio of the volume of red cells to the volume of whole blood. Normal range for hematocrit is different between the sexes and is approximately 45% to 52% for men and 37% to 48% for women.,https://www.medicinenet.com/hematocrit/article.htm
KUH|COMPONENT_ID:2032#G/DL@Labs|Aggregate:Median,36,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Protein (LP15838-3)\Protein | Bld-Ser-Plas (LP69961-8)\Prot SerPl-mCnc (2885-2)\TOTAL PROTEIN(#2032),TOTAL PROTEIN(#2032),@Labs|Aggregate:Median,total protein,6,8.3,The normal range for total protein is between 6 and 8.3 grams per deciliter (g/dL). This range may vary slightly among laboratories. These ranges are also due to other factors such as: age.,https://www.healthline.com/health/total-protein
KUH|COMPONENT_ID:3000#GM/DL@Labs|Aggregate:Median,37,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Hemoglobin (LP14449-0)\Hemoglobin | Bld-Ser-Plas (LP43135-0)\Hgb Bld-mCnc (718-7)\HEMOGLOBIN(#3000),HEMOGLOBIN(#3000),@Labs|Aggregate:Median,hemoglobin,13.5,17.5,"The normal range for hemoglobin is: For men, 13.5 to 17.5 grams per deciliter. For women, 12.0 to 15.5 grams per deciliter.",https://www.mayoclinic.org/tests-procedures/hemoglobin.../pac-20385075
KUH|COMPONENT_ID:3046#%@Labs|Aggregate:Median,38,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Red cell indices (LP31669-2)\Erythrocyte distribution width (LP17698-9)\Erythrocyte Distribution Width | Red Blood Cells (LP46692-7)\RDW RBC Auto-Rto (788-0)\RDW(#3046),RDW(#3046),@Labs|Aggregate:Median,rdw,11.5,14.5,"Higher RDW values indicate greater variation in size. Normal reference range of RDW-CV in human red blood cells is 11.5-14.5%. If anemia is observed, RDW test results are often used together with mean corpuscular volume (MCV) results to determine the possible causes of the anemia.",https://en.wikipedia.org/wiki/Red_blood_cell_distribution_width
KUH|COMPONENT_ID:3017#%@Labs|Aggregate:Median,39,Laboratory Tests (KUH Hierarchy)\HEMATOLOGY (KUH)\254-BLOOD COUNTS\MONO (#3017),MONO (#3017),@Labs|Aggregate:Median,mono,2,7,Reference ranges for differential white blood cell count in normal adults is as follows: Neutrophils - 2.0–7.0×109/l (40–80%) Lymphocytes - 1.0–3.0×109/l (20–40%) Monocytes - 0.2–1.0×109/l (2–10%),https://emedicine.medscape.com/article/2085133-overview
KUH|COMPONENT_ID:2011#MG/DL@Labs|Aggregate:Median,40,Laboratory Tests (KUH Hierarchy)\CHEMISTRY (KUH)\198-GENERAL CHEMISTRY\GLUCOSE (#2011),GLUCOSE (#2011),@Labs|Aggregate:Median,glucose,3.9,7.1,"The normal blood glucose level (tested while fasting) for non-diabetics, should be between 3.9 and 7.1 mmol/L (70 to 130 mg/dL). The mean normal blood glucose level in humans is about 5.5 mmol/L (100 mg/dL); however, this level fluctuates throughout the day.",https://en.wikipedia.org/wiki/Blood_sugar_level
KUH|COMPONENT_ID:2321#MG/DL@Labs|Aggregate:Last,44,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Cholesterol (LP15493-7)\Cholesterol in LDL (LP15491-1)\Cholesterol in LDL | Bld-Ser-Plas (LP99407-6)\LDLc SerPl-mCnc (2089-1)\LDL(#2321),LDL(#2321),@Labs|Aggregate:Last,ldl,100,129,LDL cholesterol levels should be less than 100 mg/dL. Levels of 100 to 129 mg/dL are acceptable for people with no health issues but may be of more concern for those with heart disease or heart disease risk factors. A reading of 130 to 159 mg/dL is borderline high and 160 to 189 mg/dL is high.,https://www.medicalnewstoday.com/articles/315900.php
KUH|COMPONENT_ID:2318#MG/DL@Labs|Aggregate:Last,45,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Cholesterol (LP15493-7)\Cholesterol | Bld-Ser-Plas (LP43571-6)\Cholest SerPl-mCnc (2093-3)\CHOLESTEROL(#2318),CHOLESTEROL(#2318),@Labs|Aggregate:Last,cholesterol,200,239,Cholesterol levels for adults. Total cholesterol levels less than 200 milligrams per deciliter (mg/dL) are considered desirable for adults. A reading between 200 and 239 mg/dL is considered borderline high and a reading of 240 mg/dL and above is considered high. LDL cholesterol levels should be less than 100 mg/dL.,https://www.medicalnewstoday.com/articles/315900.php
KUH|COMPONENT_ID:3042#FL@Labs|Aggregate:Median,46,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Red cell indices (LP31669-2)\Erythrocyte mean corpuscular volume (LP15191-7)\Erythrocyte mean corpuscular volume | Red Blood Cells (LP99254-2)\MCV RBC Auto (787-2)\MCV(#3042),MCV(#3042),@Labs|Aggregate:Median,mcv,80,96,"MCV is elevated or decreased in accordance with average red cell size; ie, low MCV indicates microcytic (small average RBC size), normal MCV indicates normocytic (normal average RBC size), and high MCV indicates macrocytic (large average RBC size). The reference range for MCV is 80-96 fL/red cell in adult.",https://emedicine.medscape.com/article/2085770-overview
KUH|COMPONENT_ID:2071#U/L@Labs|Aggregate:Median,47,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Enzymes (see also Inborn errors metabolism lysosomal) (LP31392-1)\Alkaline phosphatase (LP15346-7)\Alkaline Phosphatase | Bld-Ser-Plas (LP45609-2)\ALP SerPl-cCnc (6768-6)\ALK PHOSPHATASE(#2071),ALK PHOSPHATASE(#2071),@Labs|Aggregate:Median,alp,44,147,The normal range is 44 to 147 international units per liter (IU/L) or 0.73 to 2.45 microkatal per liter (µkat/L). Normal values may vary slightly from laboratory to laboratory. They also can vary with age and gender. High levels of ALP are normally seen in children undergoing growth spurts and in pregnant women.,https://medlineplus.gov/ency/article/003470.htm
KUH|COMPONENT_ID:3014#%@Labs|Aggregate:Last,49,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Lymphocytes (LP14540-6)\Lymphocytes | Bld-Ser-Plas (LP48347-6)\Lymphocytes/leuk NFr Bld Auto (736-9)\LYMPHOCYTES %(#3014),LYMPHOCYTES %(#3014),@Labs|Aggregate:Last,lymphocytes,1000,4800,"Normal ranges and levels. Lymphocyte levels can change according to a person's race, gender, location, and lifestyle habits. The normal lymphocyte range in adults is between 1,000 and 4,800 lymphocytes in 1 microliter (µL) of blood. In children, the normal range is between 3,000 and 9,500 lymphocytes in 1 µL of blood.",https://www.medicalnewstoday.com/articles/320987.php
KUH|COMPONENT_ID:2319#MG/DL@Labs|Aggregate:Median,50,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Triglyceride (LP15275-8)\Triglyceride | Bld-Ser-Plas (LP42275-5)\Trigl SerPl-mCnc (2571-8)\TRIGLYCERIDES(#2319),TRIGLYCERIDES(#2319),@Labs|Aggregate:Median,triglycerides,150,199,"A simple blood test can reveal whether your triglycerides fall into a healthy range: Normal — Less than 150 milligrams per deciliter (mg/dL), or less than 1.7 millimoles per liter (mmol/L) Borderline high — 150 to 199 mg/dL (1.8 to 2.2 mmol/L) High — 200 to 499 mg/dL (2.3 to 5.6 mmol)",https://www.mayoclinic.org/diseases.../high.../triglycerides/art-20048186
KUH|COMPONENT_ID:2198#MCU/ML@Labs|Aggregate:Median,51,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Endocrine (LP31396-2)\Pituitary Hormones- (LP31660-1)\Thyrotropin (LP14487-0)\Thyrotropin | Bld-Ser-Plas (LP41619-5)\TSH SerPl-aCnc (3016-3)\TSH(#2198),TSH(#2198),@Labs|Aggregate:Median,tsh,0.4,4,"The normal range of TSH levels is 0.4 to 4.0 milli-international units per liter. If you're already being treated for a thyroid disorder, the normal range is 0.5 to 3.0 milli-international units per liter. A value above the normal range usually indicates that the thyroid is underactive. This indicates hypothyroidism.",https://www.healthline.com/health/tsh
KUH|COMPONENT_ID:2341#NG/ML@Labs|Aggregate:Last,52,Cardiology Lab Results\Device Check (KUH)\ABSTRACT DEVICE HARDWARE\VITAMIN D (25-OH) TOTAL (#2341),VITAMIN D (25-OH) TOTAL (#2341),@Labs|Aggregate:Last,vitamin d,20,50,Tests for Vitamin D Deficiency. The most accurate way to measure how much vitamin D is in your body is the 25-hydroxy vitamin D blood test. A level of 20 nanograms/milliliter to 50 ng/mL is considered adequate for healthy people. A level less than 12 ng/mL indicates vitamin D deficiency.,https://www.webmd.com/diet/guide/vitamin-d-deficiency
KUH|COMPONENT_ID:2071#U/L@Labs|Aggregate:Last,53,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Enzymes (see also Inborn errors metabolism lysosomal) (LP31392-1)\Alkaline phosphatase (LP15346-7)\Alkaline Phosphatase | Bld-Ser-Plas (LP45609-2)\ALP SerPl-cCnc (6768-6)\ALK PHOSPHATASE(#2071),ALK PHOSPHATASE(#2071),@Labs|Aggregate:Last,alp,44,147,The normal range is 44 to 147 international units per liter (IU/L) or 0.73 to 2.45 microkatal per liter (µkat/L). Normal values may vary slightly from laboratory to laboratory. They also can vary with age and gender. High levels of ALP are normally seen in children undergoing growth spurts and in pregnant women.,https://medlineplus.gov/ency/article/003470.htm
KUH|COMPONENT_ID:3043#PG@Labs|Aggregate:Median,54,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Red cell indices (LP31669-2)\Erythrocyte mean corpuscular hemoglobin (LP17689-8)\Erythrocyte Mean Corpuscular Hemoglobin | Red Blood Cells (LP48918-4)\MCH RBC Qn Auto (785-6)\MCH(#3043),MCH(#3043),@Labs|Aggregate:Median,mch,27,33,Reference Range. The reference ranges for mean corpuscular hemoglobin and mean corpuscular hemoglobin concentration are as follows: MCH: 27-33 picograms (pg)/cell in adults. MCHC: 33-36 g/dL in adults.,https://emedicine.medscape.com/article/2054497-overview
KUH|COMPONENT_ID:2322#MG/DL@Labs|Aggregate:Last,56,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Cholesterol (LP15493-7)\Cholesterol in VLDL (LP15492-9)\Cholesterol in VLDL | Bld-Ser-Plas (LP99409-2)\VLDLc SerPl-mCnc (2091-7)\VLDL(#2322),VLDL(#2322),@Labs|Aggregate:Last,vldl,2,30,"VLDL (Bad) Cholesterol. VLDL contains the highest amount of triglycerides. VLDL is considered a type of bad cholesterol, because it helps cholesterol build up on the walls of arteries. Normal VLDL levels are from 2 to 30 mg/dL (0.1 to 1.7 mmol/l).",https://medlineplus.gov/ency/patientinstructions/000386.htm
KUH|COMPONENT_ID:3009#K/UL@Labs|Aggregate:Median,57,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Leukocytes | Bld-Ser-Plas (LP41402-6)\WBC # Bld (26464-8)\WBC COUNT(#3009),WBC COUNT(#3009),@Labs|Aggregate:Median,wbc count,4500,11000,"The normal number of WBCs in the blood is 4,500 to 11,000 WBC per microliter (4.5 to 11.0 × 109/L). Normal value ranges may vary slightly among different labs. Some labs use different measurements or may test different specimens. Talk to your provider about your test results.",https://medlineplus.gov/ency/article/003643.htm
KUH|COMPONENT_ID:2320#MG/DL@Labs|Aggregate:Median,58,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Cholesterol (LP15493-7)\Cholesterol in HDL (LP15489-5)\Cholesterol in HDL | Bld-Ser-Plas (LP99408-4)\HDLc SerPl-mCnc (2085-9)\HDL(#2320),HDL(#2320),@Labs|Aggregate:Median,hdl,40,59,"Recommended HDL range. Typically, doctors recommend an HDL level of 60 milligrams per deciliter (mg/dL) of blood or higher. HDL that falls within the range of 40 to 59 mg/dL is normal, but could be higher. Having HDL under 40 mg/dL increases your risk of developing heart disease.",https://www.healthline.com/health/high-hdl
KUH|COMPONENT_ID:3014#%@Labs|Aggregate:Median,59,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Lymphocytes (LP14540-6)\Lymphocytes | Bld-Ser-Plas (LP48347-6)\Lymphocytes/leuk NFr Bld Auto (736-9)\LYMPHOCYTES %(#3014),LYMPHOCYTES %(#3014),@Labs|Aggregate:Median,lymphocytes,1000,4800,"Normal ranges and levels. Lymphocyte levels can change according to a person's race, gender, location, and lifestyle habits. The normal lymphocyte range in adults is between 1,000 and 4,800 lymphocytes in 1 microliter (µL) of blood. In children, the normal range is between 3,000 and 9,500 lymphocytes in 1 µL of blood.",https://www.medicalnewstoday.com/articles/320987.php
KUH|COMPONENT_ID:3046#%@Labs|Aggregate:Last,60,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Red cell indices (LP31669-2)\Erythrocyte distribution width (LP17698-9)\Erythrocyte Distribution Width | Red Blood Cells (LP46692-7)\RDW RBC Auto-Rto (788-0)\RDW(#3046),RDW(#3046),@Labs|Aggregate:Last,rdw,11.5,14.5,"Higher RDW values indicate greater variation in size. Normal reference range of RDW-CV in human red blood cells is 11.5-14.5%. If anemia is observed, RDW test results are often used together with mean corpuscular volume (MCV) results to determine the possible causes of the anemia.",https://en.wikipedia.org/wiki/Red_blood_cell_distribution_width
KUH|COMPONENT_ID:3008#K/UL@Labs|Aggregate:Median,61,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Platelets (LP14597-6)\Platelets | Bld-Ser-Plas (LP41375-4)\Platelet # Bld Auto (777-3)\PLATELET COUNT(#3008),PLATELET COUNT(#3008),@Labs|Aggregate:Median,platelet count,150000,450000,"A normal platelet count ranges from 150,000 to 450,000 platelets per microliter of blood. Having more than 450,000 platelets is a condition called thrombocytosis; having less than 150,000 is known as thrombocytopenia. You get your platelet number from a routine blood test called a complete blood count (CBC).",https://www.hopkinsmedicine.org/heart_vascular.../platelets.html
